filename,plate_text,x,y,w,h,notes
0035.jpg,皖A·D22939,329,567,121,35,ccpd_tilt=90_268
0036.jpg,皖A·DB0886,209,511,114,38,ccpd_tilt=91_267
0037.jpg,皖A·D14488,348,574,112,39,ccpd_tilt=93_265
0038.jpg,皖A·D46768,302,543,101,45,ccpd_tilt=97_260
0039.jpg,皖A·D45688,290,541,109,43,ccpd_tilt=90_266
0040.jpg,皖A·D40990,224,522,115,40,ccpd_tilt=91_90
0041.jpg,皖A·D11105,216,522,124,40,ccpd_tilt=90_266
0042.jpg,皖A·DC9506,314,601,122,42,ccpd_tilt=91_267
0043.jpg,皖A·F11999,268,502,123,41,ccpd_tilt=90_90
0044.jpg,皖A·D53777,259,578,117,44,ccpd_tilt=88_267
0045.jpg,皖A·D40080,282,538,120,43,ccpd_tilt=91_266
0046.jpg,皖A·DC0799,270,562,115,45,ccpd_tilt=90_90
0047.jpg,皖A·D11787,281,522,123,42,ccpd_tilt=89_267
0048.jpg,皖A·DB2995,253,502,118,45,ccpd_tilt=92_90
0049.jpg,皖M·D00622,294,543,113,47,ccpd_tilt=86_267
0050.jpg,皖A·D42557,348,548,125,42,ccpd_tilt=89_267
0051.jpg,皖A·D91598,258,565,127,43,ccpd_tilt=90_268
0052.jpg,皖A·DB6311,397,495,130,43,ccpd_tilt=87_267
0053.jpg,皖A·D46768,285,543,131,43,ccpd_tilt=88_270
0054.jpg,皖A·D61201,240,541,126,45,ccpd_tilt=91_267
0055.jpg,皖A·D86126,352,571,94,61,ccpd_tilt=101_90
0056.jpg,皖A·D13727,219,606,136,42,ccpd_tilt=90_268
0057.jpg,皖A·DT0932,281,523,142,41,ccpd_tilt=90_266
0058.jpg,皖A·D45688,237,560,129,46,ccpd_tilt=89_267
0059.jpg,皖A·D45600,406,541,126,47,ccpd_tilt=90_90
0060.jpg,皖E·D02123,293,518,126,47,ccpd_tilt=94_263
0061.jpg,皖A·D65582,393,563,140,43,ccpd_tilt=90_268
0062.jpg,皖A·F01828,205,542,137,44,ccpd_tilt=90_264
0063.jpg,皖A·D08815,250,483,142,43,ccpd_tilt=90_266
0064.jpg,皖A·F05568,274,515,121,50,ccpd_tilt=86_266
0065.jpg,皖A·D26669,287,578,124,50,ccpd_tilt=2_269
0066.jpg,皖A·D49590,285,522,140,43,ccpd_tilt=88_270
0067.jpg,皖A·D95171,323,539,134,46,ccpd_tilt=92_90
0068.jpg,皖A·D62682,273,530,128,48,ccpd_tilt=87_268
0069.jpg,皖A·D08262,352,596,120,51,ccpd_tilt=94_263
0070.jpg,皖A·D77760,264,517,129,48,ccpd_tilt=87_263
0071.jpg,皖A·D56691,303,580,136,45,ccpd_tilt=90_90
0072.jpg,皖A·D76518,180,599,130,48,ccpd_tilt=90_263
0073.jpg,皖A·D56691,210,522,147,42,ccpd_tilt=89_269
0074.jpg,皖A·D15861,216,580,134,47,ccpd_tilt=87_267
0075.jpg,皖A·F04466,294,522,148,42,ccpd_tilt=90_262
0076.jpg,皖A·D69939,234,539,149,43,ccpd_tilt=89_264
0077.jpg,皖A·D09900,314,441,143,44,ccpd_tilt=91_263
0078.jpg,皖A·D31456,330,517,128,50,ccpd_tilt=92_266
0079.jpg,皖A·F09965,313,522,137,47,ccpd_tilt=90_268
0080.jpg,皖A·D25955,323,560,141,46,ccpd_tilt=87_269
0081.jpg,皖A·D25955,297,581,141,46,ccpd_tilt=91_269
0082.jpg,皖A·D25955,308,585,135,48,ccpd_tilt=93_265
0083.jpg,皖A·DA9855,214,558,136,48,ccpd_tilt=90_268
0084.jpg,皖A·D13727,236,537,125,52,ccpd_tilt=88_260
0085.jpg,皖A·D64308,280,523,147,44,ccpd_tilt=90_267
0086.jpg,皖A·D57566,240,500,137,48,ccpd_tilt=88_264
0087.jpg,皖A·D99929,291,541,151,44,ccpd_tilt=90_268
0088.jpg,皖A·D75258,304,500,141,47,ccpd_tilt=89_258
0089.jpg,皖A·D23068,255,562,145,46,ccpd_tilt=90_90
0090.jpg,皖A·D25955,260,539,149,45,ccpd_tilt=89_269
0091.jpg,皖A·D61066,335,543,149,45,ccpd_tilt=89_90
0092.jpg,皖A·F07599,304,560,146,46,ccpd_tilt=89_266
0093.jpg,皖A·D45582,303,523,106,63,ccpd_tilt=101_253
0094.jpg,皖A·D93115,332,538,143,47,ccpd_tilt=88_270
0095.jpg,皖A·F06588,277,557,131,51,ccpd_tilt=93_256
0096.jpg,皖A·D25955,280,541,154,44,ccpd_tilt=91_266
0097.jpg,皖A·D85566,281,581,151,44,ccpd_tilt=90_268
0098.jpg,皖A·F00095,304,501,144,47,ccpd_tilt=90_267
0099.jpg,皖A·D56665,294,578,138,50,ccpd_tilt=89_267
0100.jpg,皖A·D10723,236,539,145,47,ccpd_tilt=88_270
0101.jpg,皖A·D19118,326,558,128,53,ccpd_tilt=90_264
0102.jpg,皖A·DB3289,327,522,146,47,ccpd_tilt=90_268
0103.jpg,皖A·D12206,415,242,143,49,ccpd_tilt=92_270
0104.jpg,皖A·D09991,216,537,140,49,ccpd_tilt=90_262
0105.jpg,皖A·D43383,315,560,150,46,ccpd_tilt=90_264
0106.jpg,皖A·F11119,307,474,147,48,ccpd_tilt=89_263
0107.jpg,皖A·F00287,289,500,147,47,ccpd_tilt=90_268
0108.jpg,皖A·DC6003,350,338,144,48,ccpd_tilt=90_268
0109.jpg,皖A·D53777,363,559,141,49,ccpd_tilt=90_267
0110.jpg,皖A·D16256,223,520,148,47,ccpd_tilt=90_268
0111.jpg,皖A·D15999,239,557,130,53,ccpd_tilt=92_90
0112.jpg,皖A·D45671,224,560,145,48,ccpd_tilt=91_268
0113.jpg,皖A·DA8062,306,539,152,46,ccpd_tilt=90_268
0114.jpg,皖A·D75258,254,495,142,49,ccpd_tilt=88_257
0115.jpg,皖A·F16206,318,576,136,52,ccpd_tilt=90_90
0116.jpg,皖A·D11172,291,541,139,51,ccpd_tilt=86_270
0117.jpg,皖A·D13398,327,558,139,50,ccpd_tilt=92_260
0118.jpg,皖A·D22123,273,585,153,46,ccpd_tilt=90_90
0119.jpg,皖A·F00095,222,541,157,45,ccpd_tilt=90_90
0120.jpg,皖A·D32066,307,501,154,46,ccpd_tilt=91_266
0121.jpg,皖A·D49798,262,500,125,57,ccpd_tilt=89_263
0122.jpg,皖A·D51888,267,518,145,49,ccpd_tilt=88_270
0123.jpg,皖A·F00730,301,558,145,49,ccpd_tilt=90_264
0124.jpg,皖A·D12340,165,496,140,52,ccpd_tilt=90_263
0125.jpg,皖A·F06850,266,543,93,78,ccpd_tilt=107_250
0126.jpg,皖A·D85918,289,522,158,45,ccpd_tilt=89_257
0127.jpg,皖A·D97185,305,523,158,46,ccpd_tilt=90_90
0128.jpg,皖A·D80991,321,541,151,48,ccpd_tilt=90_267
0129.jpg,皖A·D67918,287,516,151,48,ccpd_tilt=90_90
0130.jpg,皖A·DC2618,174,481,155,47,ccpd_tilt=90_264
0131.jpg,皖A·D98898,331,557,145,50,ccpd_tilt=89_267
0132.jpg,皖A·F07070,225,574,139,53,ccpd_tilt=92_260
0133.jpg,皖A·D84186,290,441,159,45,ccpd_tilt=90_265
0134.jpg,皖A·D45688,290,548,152,48,ccpd_tilt=90_268
0135.jpg,皖A·D85198,156,478,152,48,ccpd_tilt=90_90
0136.jpg,皖A·D55539,286,578,149,50,ccpd_tilt=88_269
0137.jpg,皖A·D06686,301,538,156,47,ccpd_tilt=89_269
0138.jpg,皖A·D00518,300,469,157,47,ccpd_tilt=90_268
0139.jpg,皖A·D63008,385,494,138,54,ccpd_tilt=92_270
0140.jpg,皖A·D11881,333,476,147,50,ccpd_tilt=93_266
0141.jpg,皖A·D69848,291,539,158,47,ccpd_tilt=91_261
0142.jpg,皖A·D02176,285,518,151,49,ccpd_tilt=91_90
0143.jpg,皖A·DB6311,281,516,162,46,ccpd_tilt=90_268
0144.jpg,皖A·D11555,272,496,148,51,ccpd_tilt=90_268
0145.jpg,皖A·D19788,252,575,139,54,ccpd_tilt=90_90
0146.jpg,皖A·D29796,268,576,145,52,ccpd_tilt=88_267
0147.jpg,皖A·D81682,290,560,155,48,ccpd_tilt=91_267
0148.jpg,皖A·D44616,249,576,129,58,ccpd_tilt=90_265
0149.jpg,皖A·D43321,94,179,159,47,ccpd_tilt=90_267
0150.jpg,皖A·D67878,451,559,152,49,ccpd_tilt=89_264
0151.jpg,皖A·D40558,374,539,152,49,ccpd_tilt=91_267
0152.jpg,皖A·D18116,325,495,137,55,ccpd_tilt=89_90
0153.jpg,皖A·D13727,288,518,149,51,ccpd_tilt=90_266
0154.jpg,皖A·F11119,296,522,146,51,ccpd_tilt=89_268
0155.jpg,皖A·D57898,304,541,156,48,ccpd_tilt=90_266
0156.jpg,皖A·D10121,287,560,160,47,ccpd_tilt=89_266
0157.jpg,皖A·DB7189,207,557,153,49,ccpd_tilt=90_262
0158.jpg,皖A·D46828,265,495,164,46,ccpd_tilt=91_267
0159.jpg,皖A·D22322,327,563,150,50,ccpd_tilt=90_260
0160.jpg,皖A·D99633,329,536,150,50,ccpd_tilt=90_263
0161.jpg,皖A·D82258,306,480,157,48,ccpd_tilt=90_268
0162.jpg,皖A·D15756,264,501,154,49,ccpd_tilt=89_268
0163.jpg,皖A·D45618,254,501,154,49,ccpd_tilt=89_90
0164.jpg,皖A·D62339,273,576,124,62,ccpd_tilt=91_269
0165.jpg,皖A·D44437,342,518,151,51,ccpd_tilt=92_90
0166.jpg,皖A·D16677,142,478,158,48,ccpd_tilt=90_268
0167.jpg,皖A·D46100,244,542,148,52,ccpd_tilt=91_269
0168.jpg,皖A·DC3658,188,538,162,47,ccpd_tilt=89_265
0169.jpg,皖A·D44223,241,493,134,57,ccpd_tilt=90_254
0170.jpg,皖A·D02822,268,536,155,49,ccpd_tilt=90_264
0171.jpg,皖A·D19830,248,570,109,70,ccpd_tilt=100_275
0172.jpg,皖A·D15599,217,557,152,50,ccpd_tilt=90_253
0173.jpg,皖A·F15886,279,517,159,48,ccpd_tilt=90_267
0174.jpg,皖A·D55222,194,558,159,48,ccpd_tilt=90_268
0175.jpg,皖A·D43266,300,499,159,48,ccpd_tilt=91_268
0176.jpg,皖A·D58582,264,516,146,53,ccpd_tilt=90_262
0177.jpg,皖A·D45957,240,538,146,52,ccpd_tilt=90_264
0178.jpg,皖A·DA9281,259,549,146,52,ccpd_tilt=92_267
0179.jpg,皖A·D16820,306,483,156,49,ccpd_tilt=89_90
0180.jpg,苏C·D00272,314,518,153,51,ccpd_tilt=90_267
0181.jpg,皖A·D15518,212,558,153,50,ccpd_tilt=92_270
0182.jpg,皖A·D80520,352,537,160,48,ccpd_tilt=90_268
0183.jpg,皖A·D06755,345,576,150,52,ccpd_tilt=91_267
0184.jpg,皖A·D53320,318,518,150,52,ccpd_tilt=92_266
0185.jpg,皖A·D88091,223,558,164,47,ccpd_tilt=90_267
0186.jpg,皖A·D45671,220,581,164,47,ccpd_tilt=91_268
0187.jpg,皖A·D42288,354,560,147,52,ccpd_tilt=91_266
0188.jpg,皖A·D16609,250,558,154,50,ccpd_tilt=90_266
0189.jpg,皖A·F06516,286,517,154,50,ccpd_tilt=90_266
0190.jpg,皖A·D32066,294,569,165,47,ccpd_tilt=90_267
0191.jpg,皖A·D77606,294,543,151,52,ccpd_tilt=90_266
0192.jpg,皖A·D16898,370,578,155,51,ccpd_tilt=90_263
0193.jpg,皖A·D08815,245,478,155,50,ccpd_tilt=90_268
0194.jpg,皖A·D47868,238,565,155,51,ccpd_tilt=91_90
0195.jpg,皖A·DC2610,278,557,143,54,ccpd_tilt=90_267
0196.jpg,皖A·DB8408,271,553,143,55,ccpd_tilt=93_265
0197.jpg,皖A·D54386,412,517,149,53,ccpd_tilt=87_268
0198.jpg,皖A·DB8897,347,538,149,52,ccpd_tilt=91_267
0199.jpg,皖A·D18795,183,517,146,54,ccpd_tilt=91_263
0200.jpg,皖A·D09991,261,581,156,50,ccpd_tilt=90_268
0201.jpg,皖A·D85658,306,562,156,50,ccpd_tilt=91_267
0202.jpg,皖A·D53880,329,559,153,51,ccpd_tilt=90_268
0203.jpg,皖A·F02822,345,495,153,52,ccpd_tilt=91_269
0204.jpg,皖A·D55776,231,578,150,53,ccpd_tilt=90_268
0205.jpg,皖A·D22666,251,557,160,49,ccpd_tilt=91_90
0206.jpg,皖A·D25955,284,536,160,49,ccpd_tilt=92_263
0207.jpg,皖A·D11918,258,518,144,55,ccpd_tilt=93_262
0208.jpg,皖A·F15127,230,536,147,53,ccpd_tilt=94_269
0209.jpg,皖A·D72678,281,565,168,47,ccpd_tilt=90_268
0210.jpg,皖A·F15858,324,517,154,52,ccpd_tilt=90_261
0211.jpg,皖A·D15159,295,515,161,49,ccpd_tilt=90_268
0212.jpg,皖A·D06809,170,559,161,49,ccpd_tilt=90_90
0213.jpg,皖A·D22123,219,536,145,54,ccpd_tilt=88_90
0214.jpg,皖A·DC3658,246,597,158,50,ccpd_tilt=88_267
0215.jpg,皖A·D34282,292,480,158,50,ccpd_tilt=89_269
0216.jpg,皖A·D90518,344,461,158,51,ccpd_tilt=91_90
0217.jpg,皖A·D28776,308,518,162,49,ccpd_tilt=90_266
0218.jpg,皖A·DB1226,333,400,152,53,ccpd_tilt=88_266
0219.jpg,皖A·F15028,293,504,166,48,ccpd_tilt=90_263
0220.jpg,皖A·D08815,221,525,174,46,ccpd_tilt=90_263
0221.jpg,皖A·D34282,276,480,156,51,ccpd_tilt=89_260
0222.jpg,皖A·D82599,222,554,156,52,ccpd_tilt=91_262
0223.jpg,皖A·D28366,196,537,156,51,ccpd_tilt=91_267
0224.jpg,皖A·F08518,379,552,153,53,ccpd_tilt=89_267
0225.jpg,皖A·DB6718,288,496,153,53,ccpd_tilt=90_267
0226.jpg,苏C·D00212,220,558,167,48,ccpd_tilt=90_268
0227.jpg,皖A·D87808,269,517,160,50,ccpd_tilt=89_266
0228.jpg,皖A·D15756,270,536,160,50,ccpd_tilt=90_264
0229.jpg,皖A·F00256,303,558,160,50,ccpd_tilt=90_268
0230.jpg,皖A·D45520,270,541,160,51,ccpd_tilt=91_269
0231.jpg,皖A·D48820,293,599,154,53,ccpd_tilt=90_90
0232.jpg,皖A·F05056,257,574,154,53,ccpd_tilt=91_90
0233.jpg,皖A·D61066,255,544,145,56,ccpd_tilt=85_273
0234.jpg,皖A·F18880,294,557,145,55,ccpd_tilt=92_267
0235.jpg,皖A·D86168,304,479,148,55,ccpd_tilt=89_265
0236.jpg,皖A·D74002,274,541,161,51,ccpd_tilt=91_265
0237.jpg,皖A·D88288,312,550,158,51,ccpd_tilt=88_266
0238.jpg,皖A·D00328,289,538,155,52,ccpd_tilt=90_268
0239.jpg,皖A·D21021,305,473,155,53,ccpd_tilt=90_90
0240.jpg,皖A·D11215,238,539,155,53,ccpd_tilt=92_266
0241.jpg,皖A·D11111,271,552,146,56,ccpd_tilt=88_270
0242.jpg,皖A·F07376,161,575,146,56,ccpd_tilt=91_266
0243.jpg,皖A·D56066,354,516,152,54,ccpd_tilt=91_90
0244.jpg,皖A·D55539,243,538,152,54,ccpd_tilt=92_90
0245.jpg,皖A·D38992,266,553,149,55,ccpd_tilt=89_90
0246.jpg,皖A·D84186,347,476,149,54,ccpd_tilt=91_269
0247.jpg,皖A·D47899,316,599,162,51,ccpd_tilt=90_263
0248.jpg,皖A·D06809,239,520,162,51,ccpd_tilt=90_268
0249.jpg,皖A·F09878,271,478,162,50,ccpd_tilt=90_268
0250.jpg,皖A·D69939,256,539,166,49,ccpd_tilt=89_264
0251.jpg,皖A·D25955,87,523,141,58,ccpd_tilt=90_267
0252.jpg,皖A·D02829,252,459,159,52,ccpd_tilt=90_90
0253.jpg,皖A·F15127,270,576,141,58,ccpd_tilt=92_267
0254.jpg,皖A·D01911,299,472,115,71,ccpd_tilt=82_262
0255.jpg,皖A·D49637,222,515,156,52,ccpd_tilt=89_90
0256.jpg,皖A·D75961,239,539,156,53,ccpd_tilt=90_268
0257.jpg,皖A·D34282,226,496,156,53,ccpd_tilt=90_90
0258.jpg,皖A·F00108,265,575,156,53,ccpd_tilt=91_268
0259.jpg,皖A·D11110,298,534,156,52,ccpd_tilt=92_269
0260.jpg,皖A·DC0799,306,536,156,52,ccpd_tilt=92_269
0261.jpg,皖A·D19777,270,538,156,52,ccpd_tilt=92_270
0262.jpg,皖A·F07050,322,538,153,54,ccpd_tilt=91_258
0263.jpg,皖A·D15161,354,520,163,51,ccpd_tilt=90_268
0264.jpg,皖A·D62228,216,559,150,54,ccpd_tilt=86_263
0265.jpg,皖A·D49696,246,544,167,50,ccpd_tilt=90_266
0266.jpg,皖A·D19830,305,500,167,49,ccpd_tilt=90_266
0267.jpg,皖A·F05056,317,542,160,52,ccpd_tilt=91_267
0268.jpg,皖A·D97185,252,536,142,58,ccpd_tilt=88_269
0269.jpg,皖A·F00050,326,596,157,52,ccpd_tilt=90_90
0270.jpg,皖A·D25955,295,526,164,50,ccpd_tilt=90_266
0271.jpg,皖A·D12811,310,537,154,53,ccpd_tilt=89_268
0272.jpg,皖A·D22821,323,495,154,54,ccpd_tilt=89_268
0273.jpg,皖A·D61201,329,500,154,53,ccpd_tilt=90_266
0274.jpg,皖A·D15756,292,501,168,49,ccpd_tilt=89_267
0275.jpg,皖B·D47308,274,501,168,49,ccpd_tilt=90_264
0276.jpg,皖A·F09288,280,532,168,50,ccpd_tilt=90_267
0277.jpg,皖A·D18198,275,495,161,52,ccpd_tilt=89_265
0278.jpg,皖A·D75258,230,479,161,51,ccpd_tilt=90_261
0279.jpg,皖A·D68055,380,496,161,52,ccpd_tilt=90_267
0280.jpg,皖A·D98662,312,538,165,50,ccpd_tilt=89_268
0281.jpg,皖A·D40558,350,538,155,54,ccpd_tilt=91_264
0282.jpg,皖A·DC3513,238,552,155,54,ccpd_tilt=91_269
0283.jpg,皖A·D68558,295,536,155,53,ccpd_tilt=93_270
0284.jpg,皖A·D18816,198,538,149,56,ccpd_tilt=88_257
0285.jpg,皖A·D56182,159,478,149,56,ccpd_tilt=90_261
0286.jpg,皖A·D01668,301,476,149,55,ccpd_tilt=90_264
0287.jpg,皖A·D12368,269,576,152,55,ccpd_tilt=90_266
0288.jpg,皖A·D50777,255,526,169,49,ccpd_tilt=90_260
0289.jpg,皖A·D25955,328,560,162,51,ccpd_tilt=89_267
0290.jpg,皖A·D93598,170,612,141,59,ccpd_tilt=90_259
0291.jpg,皖A·D02829,264,501,162,51,ccpd_tilt=90_267
0292.jpg,皖A·D11172,259,532,144,58,ccpd_tilt=83_90
0293.jpg,沪A·DE1107,307,558,159,52,ccpd_tilt=90_266
0294.jpg,皖A·D69939,308,541,159,53,ccpd_tilt=90_90
0295.jpg,皖A·D82718,306,515,166,50,ccpd_tilt=90_258
0296.jpg,皖A·D61555,312,483,166,51,ccpd_tilt=90_90
0297.jpg,皖A·F07709,315,506,147,57,ccpd_tilt=86_271
0298.jpg,皖A·D56665,150,554,156,54,ccpd_tilt=90_268
0299.jpg,皖A·D32872,458,516,147,57,ccpd_tilt=93_262
0300.jpg,皖A·D75258,259,554,147,57,ccpd_tilt=94_266
0301.jpg,皖A·D16186,342,534,163,51,ccpd_tilt=91_267
0302.jpg,皖A·D10106,286,575,160,53,ccpd_tilt=88_265
0303.jpg,皖A·F01608,248,500,160,52,ccpd_tilt=90_264
0304.jpg,皖A·F11777,232,518,160,53,ccpd_tilt=92_265
0305.jpg,皖A·D51516,278,539,167,50,ccpd_tilt=91_265
0306.jpg,皖A·D56999,320,493,151,56,ccpd_tilt=88_256
0307.jpg,皖A·D58660,264,516,164,51,ccpd_tilt=90_266
0308.jpg,皖A·D38908,342,539,168,50,ccpd_tilt=89_90
0309.jpg,皖A·D12600,271,494,158,54,ccpd_tilt=89_258
0310.jpg,皖A·F11509,230,516,158,54,ccpd_tilt=91_90
0311.jpg,皖A·D12999,236,476,152,55,ccpd_tilt=88_270
0312.jpg,皖A·D55644,274,538,165,51,ccpd_tilt=91_269
0313.jpg,皖A·D65979,239,511,144,59,ccpd_tilt=88_269
0314.jpg,皖A·D16256,290,539,162,53,ccpd_tilt=90_90
0315.jpg,皖A·D62208,329,495,162,53,ccpd_tilt=91_269
0316.jpg,皖A·D62000,282,552,144,59,ccpd_tilt=93_270
0317.jpg,皖A·D35888,280,553,159,54,ccpd_tilt=88_270
0318.jpg,皖A·D49590,281,496,159,54,ccpd_tilt=89_266
0319.jpg,皖A·DC8252,189,530,147,58,ccpd_tilt=92_256
0320.jpg,皖A·DB2858,146,539,156,55,ccpd_tilt=89_90
0321.jpg,皖A·D10826,225,537,156,55,ccpd_tilt=91_269
0322.jpg,皖A·D25955,340,472,156,55,ccpd_tilt=92_90
0323.jpg,皖A·D56456,279,554,153,56,ccpd_tilt=90_264
0324.jpg,皖A·D88288,265,515,153,56,ccpd_tilt=90_90
0325.jpg,皖A·D85198,273,496,163,53,ccpd_tilt=89_267
0326.jpg,皖A·D09595,224,516,163,53,ccpd_tilt=90_263
0327.jpg,皖A·D85658,103,515,145,59,ccpd_tilt=86_267
0328.jpg,皖A·D38827,265,504,160,54,ccpd_tilt=91_269
0329.jpg,皖A·F05056,297,527,148,58,ccpd_tilt=88_270
0330.jpg,皖A·D11945,356,515,148,58,ccpd_tilt=91_90
0331.jpg,皖A·D75258,263,481,167,51,ccpd_tilt=89_267
0332.jpg,皖A·D28366,235,532,167,52,ccpd_tilt=89_269
0333.jpg,皖A·D52606,217,580,151,56,ccpd_tilt=89_263
0334.jpg,皖A·D93363,318,528,119,72,ccpd_tilt=83_261
0335.jpg,皖A·D45688,244,578,161,54,ccpd_tilt=90_265
0336.jpg,皖A·D60988,208,478,161,53,ccpd_tilt=92_270
0337.jpg,皖A·D41611,285,582,168,51,ccpd_tilt=90_243
0338.jpg,皖A·F04440,279,476,149,58,ccpd_tilt=93_263
0339.jpg,皖A·D88818,251,616,158,54,ccpd_tilt=88_269
0340.jpg,皖A·D54386,282,558,158,54,ccpd_tilt=90_268
0341.jpg,皖A·D17069,364,537,158,55,ccpd_tilt=92_265
0342.jpg,皖A·D89116,301,534,155,55,ccpd_tilt=91_267
0343.jpg,皖A·D80067,277,517,155,56,ccpd_tilt=91_268
0344.jpg,皖A·D56066,253,534,172,50,ccpd_tilt=90_267
0345.jpg,皖A·D58677,265,526,176,49,ccpd_tilt=90_268
0346.jpg,皖A·D85658,273,537,162,53,ccpd_tilt=90_90
0347.jpg,皖A·D16638,294,559,169,51,ccpd_tilt=90_263
0348.jpg,皖A·D65569,424,473,150,58,ccpd_tilt=87_90
0349.jpg,皖A·F11119,234,486,159,55,ccpd_tilt=90_90
0350.jpg,皖A·DT0932,265,553,159,55,ccpd_tilt=93_263
0351.jpg,皖A·D10069,186,375,156,56,ccpd_tilt=87_265
0352.jpg,皖A·F07611,288,594,156,56,ccpd_tilt=89_263
0353.jpg,皖A·D15777,281,512,153,57,ccpd_tilt=89_264
0354.jpg,皖A·D11000,217,554,153,57,ccpd_tilt=91_264
0355.jpg,皖A·D58218,194,575,156,56,ccpd_tilt=92_264
0356.jpg,皖A·D55178,291,509,135,65,ccpd_tilt=93_242
0357.jpg,皖A·D58222,190,522,166,52,ccpd_tilt=90_263
0358.jpg,皖A·D81568,187,558,166,52,ccpd_tilt=90_265
0359.jpg,皖A·D67887,327,574,166,53,ccpd_tilt=90_267
0360.jpg,皖A·D45688,226,573,163,54,ccpd_tilt=90_266
0361.jpg,皖A·D31718,280,575,163,54,ccpd_tilt=90_268
0362.jpg,皖A·D13598,284,532,163,54,ccpd_tilt=91_263
0363.jpg,皖A·D41988,83,557,160,54,ccpd_tilt=88_90
0364.jpg,皖A·F03577,218,537,160,55,ccpd_tilt=90_262
0365.jpg,皖A·F19199,203,526,160,55,ccpd_tilt=91_263
0366.jpg,皖A·D63939,187,553,151,58,ccpd_tilt=89_265
0367.jpg,皖A·D11219,305,496,157,56,ccpd_tilt=89_268
0368.jpg,皖A·D97955,278,499,157,55,ccpd_tilt=90_265
0369.jpg,皖A·F13366,156,539,154,57,ccpd_tilt=88_265
0370.jpg,皖A·D67729,311,496,154,57,ccpd_tilt=91_266
0371.jpg,皖A·D11099,239,494,167,53,ccpd_tilt=89_266
0372.jpg,皖A·D28776,241,554,149,59,ccpd_tilt=91_266
0373.jpg,皖A·D46899,144,479,152,58,ccpd_tilt=92_262
0374.jpg,皖A·F00197,307,552,158,56,ccpd_tilt=91_266
0375.jpg,皖A·DB6345,276,470,155,57,ccpd_tilt=86_262
0376.jpg,苏C·D00272,307,553,155,57,ccpd_tilt=91_268
0377.jpg,皖A·D06660,300,538,168,52,ccpd_tilt=87_268
0378.jpg,皖A·D12238,268,541,168,53,ccpd_tilt=89_264
0379.jpg,皖A·D72608,85,509,137,65,ccpd_tilt=83_261
0380.jpg,皖A·F02822,253,558,165,53,ccpd_tilt=90_268
0381.jpg,皖A·D19666,297,461,165,54,ccpd_tilt=90_268
0382.jpg,皖A·F10006,262,516,165,54,ccpd_tilt=91_264
0383.jpg,皖A·D18217,262,500,176,50,ccpd_tilt=88_264
0384.jpg,皖A·F00968,298,580,162,54,ccpd_tilt=90_266
0385.jpg,皖A·D19567,280,534,159,55,ccpd_tilt=91_265
0386.jpg,皖A·D08815,292,494,153,58,ccpd_tilt=91_267
0387.jpg,皖A·D12811,368,543,169,53,ccpd_tilt=90_266
