"filename","plate_text","x","y","w","h","legality","plate_type","notes"
"0001.jpg","","7","4","87","36","legal","common","auto_yolo;conf=0.1314"
"0041.jpg","","0","0","0","0","unknown","unknown","no_det;conf=0.0000"
"0042.jpg","","0","0","0","0","unknown","unknown","no_det;conf=0.0000"
"0043.jpg","","0","0","0","0","unknown","unknown","no_det;conf=0.0000"
"0044.jpg","","0","0","0","0","unknown","unknown","no_det;conf=0.0000"
"0045.jpg","","0","0","0","0","unknown","unknown","no_det;conf=0.0000"
"0046.jpg","","0","0","0","0","unknown","unknown","no_det;conf=0.0000"
"0047.jpg","","0","0","0","0","unknown","unknown","no_det;conf=0.0000"
"0048.jpg","","0","0","0","0","unknown","unknown","no_det;conf=0.0000"
"0049.jpg","","0","0","0","0","unknown","unknown","no_det;conf=0.0000"
"0050.jpg","","0","0","0","0","unknown","unknown","no_det;conf=0.0000"
"0051.jpg","","5","6","88","38","legal","common","auto_yolo;conf=0.0631"
"0052.jpg","","0","0","0","0","unknown","unknown","no_det;conf=0.0000"
"0053.jpg","","35","13","82","25","legal","common","auto_yolo;conf=0.0333"
"0054.jpg","","0","0","0","0","unknown","unknown","no_det;conf=0.0000"
"0055.jpg","","0","0","0","0","unknown","unknown","no_det;conf=0.0000"
"0056.jpg","","0","0","0","0","unknown","unknown","no_det;conf=0.0000"
"0057.jpg","","0","0","0","0","unknown","unknown","no_det;conf=0.0000"
"0058.jpg","","0","0","0","0","unknown","unknown","no_det;conf=0.0000"
"0059.jpg","","0","0","0","0","unknown","unknown","no_det;conf=0.0000"
"0060.jpg","","0","0","0","0","unknown","unknown","no_det;conf=0.0000"
"0061.jpg","","0","0","0","0","unknown","unknown","no_det;conf=0.0000"
"0062.jpg","","0","0","0","0","unknown","unknown","no_det;conf=0.0000"
"0063.jpg","","0","0","0","0","unknown","unknown","no_det;conf=0.0000"
"0064.jpg","","0","0","0","0","unknown","unknown","no_det;conf=0.0000"
"0065.jpg","","0","0","0","0","unknown","unknown","no_det;conf=0.0000"
"0066.jpg","","0","0","0","0","unknown","unknown","no_det;conf=0.0000"
"0067.jpg","","0","0","0","0","unknown","unknown","no_det;conf=0.0000"
"0068.jpg","","0","0","0","0","unknown","unknown","no_det;conf=0.0000"
"0069.jpg","","33","3","88","38","legal","common","auto_yolo;conf=0.0181"
"0070.jpg","","0","0","0","0","unknown","unknown","no_det;conf=0.0000"
"0071.jpg","","0","0","0","0","unknown","unknown","no_det;conf=0.0000"
"0072.jpg","","0","0","0","0","unknown","unknown","no_det;conf=0.0000"
"0073.jpg","","0","0","0","0","unknown","unknown","no_det;conf=0.0000"
"0074.jpg","","0","0","0","0","unknown","unknown","no_det;conf=0.0000"
"0075.jpg","","0","0","0","0","unknown","unknown","no_det;conf=0.0000"
"0076.jpg","","0","0","0","0","unknown","unknown","no_det;conf=0.0000"
"0077.jpg","","0","0","0","0","unknown","unknown","no_det;conf=0.0000"
"0078.jpg","","0","0","0","0","unknown","unknown","no_det;conf=0.0000"
"0079.jpg","","3","12","85","30","legal","common","auto_yolo;conf=0.0351"
"0080.jpg","","0","0","0","0","unknown","unknown","no_det;conf=0.0000"
"0081.jpg","","0","0","0","0","unknown","unknown","no_det;conf=0.0000"
"0082.jpg","","37","13","79","29","legal","common","auto_yolo;conf=0.0638"
"0083.jpg","","3","13","85","28","legal","common","auto_yolo;conf=0.1580"
"0084.jpg","","0","0","0","0","unknown","unknown","no_det;conf=0.0000"
"0085.jpg","","0","0","0","0","unknown","unknown","no_det;conf=0.0000"
"0086.jpg","","0","0","0","0","unknown","unknown","no_det;conf=0.0000"
"0087.jpg","","2","11","86","34","legal","common","auto_yolo;conf=0.0546"
"0088.jpg","","0","0","0","0","unknown","unknown","no_det;conf=0.0000"
"0089.jpg","","0","0","0","0","unknown","unknown","no_det;conf=0.0000"
"0090.jpg","","30","11","89","28","legal","common","auto_yolo;conf=0.0772"
"0091.jpg","","13","8","86","34","legal","common","auto_yolo;conf=0.4685"
"0092.jpg","","0","0","0","0","unknown","unknown","no_det;conf=0.0000"
"0093.jpg","","0","0","0","0","unknown","unknown","no_det;conf=0.0000"
"0094.jpg","","6","15","83","26","legal","common","auto_yolo;conf=0.0158"
"0095.jpg","","6","3","86","39","legal","common","auto_yolo;conf=0.0136"
"0096.jpg","","0","0","0","0","unknown","unknown","no_det;conf=0.0000"
"0097.jpg","","0","0","0","0","unknown","unknown","no_det;conf=0.0000"
"0098.jpg","","0","0","0","0","unknown","unknown","no_det;conf=0.0000"
"0099.jpg","","0","0","0","0","unknown","unknown","no_det;conf=0.0000"
"0100.jpg","","0","0","0","0","unknown","unknown","no_det;conf=0.0000"
"0101.jpg","","5","6","85","37","legal","common","auto_yolo;conf=0.0389"
"0102.jpg","","0","0","0","0","unknown","unknown","no_det;conf=0.0000"
"0103.jpg","","0","0","0","0","unknown","unknown","no_det;conf=0.0000"
"0104.jpg","","0","0","0","0","unknown","unknown","no_det;conf=0.0000"
"0105.jpg","","0","0","0","0","unknown","unknown","no_det;conf=0.0000"
"0106.jpg","","0","0","0","0","unknown","unknown","no_det;conf=0.0000"
"0107.jpg","","0","0","0","0","unknown","unknown","no_det;conf=0.0000"
"0108.jpg","","0","0","0","0","unknown","unknown","no_det;conf=0.0000"
"0109.jpg","","0","0","0","0","unknown","unknown","no_det;conf=0.0000"
"0110.jpg","","0","0","0","0","unknown","unknown","no_det;conf=0.0000"
"0111.jpg","","0","0","0","0","unknown","unknown","no_det;conf=0.0000"
"0112.jpg","","0","0","0","0","unknown","unknown","no_det;conf=0.0000"
"0113.jpg","","0","0","0","0","unknown","unknown","no_det;conf=0.0000"
"0114.jpg","","33","11","91","31","legal","common","auto_yolo;conf=0.0126"
"0115.jpg","","0","0","0","0","unknown","unknown","no_det;conf=0.0000"
"0116.jpg","","0","0","0","0","unknown","unknown","no_det;conf=0.0000"
"0117.jpg","","0","0","0","0","unknown","unknown","no_det;conf=0.0000"
"0118.jpg","","0","0","0","0","unknown","unknown","no_det;conf=0.0000"
"0119.jpg","","0","0","0","0","unknown","unknown","no_det;conf=0.0000"
"0120.jpg","","0","0","0","0","unknown","unknown","no_det;conf=0.0000"
"0121.jpg","","0","0","0","0","unknown","unknown","no_det;conf=0.0000"
"0122.jpg","","29","3","85","37","legal","common","auto_yolo;conf=0.0545"
"0123.jpg","","0","0","0","0","unknown","unknown","no_det;conf=0.0000"
"0124.jpg","","0","0","0","0","unknown","unknown","no_det;conf=0.0000"
"0125.jpg","","0","0","0","0","unknown","unknown","no_det;conf=0.0000"
"0126.jpg","","0","0","0","0","unknown","unknown","no_det;conf=0.0000"
"0127.jpg","","0","0","0","0","unknown","unknown","no_det;conf=0.0000"
"0128.jpg","","0","11","82","36","legal","common","auto_yolo;conf=0.0103"
"0129.jpg","","0","0","0","0","unknown","unknown","no_det;conf=0.0000"
"0130.jpg","","0","0","0","0","unknown","unknown","no_det;conf=0.0000"
"0131.jpg","","37","8","84","31","legal","common","auto_yolo;conf=0.0814"
"0132.jpg","","0","0","0","0","unknown","unknown","no_det;conf=0.0000"
"0133.jpg","","0","0","0","0","unknown","unknown","no_det;conf=0.0000"
"0134.jpg","","0","0","0","0","unknown","unknown","no_det;conf=0.0000"
"0135.jpg","","0","0","0","0","unknown","unknown","no_det;conf=0.0000"
"0136.jpg","","0","0","0","0","unknown","unknown","no_det;conf=0.0000"
"0137.jpg","","0","0","0","0","unknown","unknown","no_det;conf=0.0000"
"0138.jpg","","0","0","0","0","unknown","unknown","no_det;conf=0.0000"
"0139.jpg","","0","0","0","0","unknown","unknown","no_det;conf=0.0000"
"0140.jpg","","0","0","0","0","unknown","unknown","no_det;conf=0.0000"
"0141.jpg","","0","0","0","0","unknown","unknown","no_det;conf=0.0000"
"0142.jpg","","0","0","0","0","unknown","unknown","no_det;conf=0.0000"
"0143.jpg","","32","12","85","30","legal","common","auto_yolo;conf=0.0389"
"0144.jpg","","3","12","89","30","legal","common","auto_yolo;conf=0.0493"
"0145.jpg","","0","0","0","0","unknown","unknown","no_det;conf=0.0000"
"0146.jpg","","0","0","0","0","unknown","unknown","no_det;conf=0.0000"
"0147.jpg","","0","11","79","36","legal","common","auto_yolo;conf=0.0161"
"0148.jpg","","0","18","82","25","legal","common","auto_yolo;conf=0.2969"
"0149.jpg","","4","11","87","34","legal","common","auto_yolo;conf=0.0112"
"0150.jpg","","0","0","0","0","unknown","unknown","no_det;conf=0.0000"
"0151.jpg","","0","0","0","0","unknown","unknown","no_det;conf=0.0000"
"0152.jpg","","0","0","0","0","unknown","unknown","no_det;conf=0.0000"
"0153.jpg","","0","0","0","0","unknown","unknown","no_det;conf=0.0000"
"0154.jpg","","35","14","88","27","legal","common","auto_yolo;conf=0.0147"
"0155.jpg","","0","0","0","0","unknown","unknown","no_det;conf=0.0000"
"0156.jpg","","0","0","0","0","unknown","unknown","no_det;conf=0.0000"
"0157.jpg","","2","14","85","30","legal","common","auto_yolo;conf=0.3551"
"0158.jpg","","0","0","0","0","unknown","unknown","no_det;conf=0.0000"
"0159.jpg","","5","3","85","39","legal","common","auto_yolo;conf=0.0206"
"0160.jpg","","41","12","77","28","legal","common","auto_yolo;conf=0.5111"
"0161.jpg","","0","0","0","0","unknown","unknown","no_det;conf=0.0000"
"0162.jpg","","0","0","0","0","unknown","unknown","no_det;conf=0.0000"
"0163.jpg","","0","0","0","0","unknown","unknown","no_det;conf=0.0000"
"0164.jpg","","0","0","0","0","unknown","unknown","no_det;conf=0.0000"
"0165.jpg","","0","0","0","0","unknown","unknown","no_det;conf=0.0000"
"0166.jpg","","0","0","0","0","unknown","unknown","no_det;conf=0.0000"
"0167.jpg","","0","0","0","0","unknown","unknown","no_det;conf=0.0000"
"0168.jpg","","0","0","0","0","unknown","unknown","no_det;conf=0.0000"
"0169.jpg","","0","0","0","0","unknown","unknown","no_det;conf=0.0000"
"0170.jpg","","0","0","0","0","unknown","unknown","no_det;conf=0.0000"
"0171.jpg","","0","18","82","27","legal","common","auto_yolo;conf=0.0662"
"0172.jpg","","0","0","0","0","unknown","unknown","no_det;conf=0.0000"
"0173.jpg","","0","0","0","0","unknown","unknown","no_det;conf=0.0000"
"0174.jpg","","8","8","87","33","legal","common","auto_yolo;conf=0.4281"
"0175.jpg","","0","0","0","0","unknown","unknown","no_det;conf=0.0000"
"0176.jpg","","0","0","0","0","unknown","unknown","no_det;conf=0.0000"
"0177.jpg","","3","13","83","31","legal","common","auto_yolo;conf=0.1267"
"0178.jpg","","0","0","0","0","unknown","unknown","no_det;conf=0.0000"
"0179.jpg","","0","0","0","0","unknown","unknown","no_det;conf=0.0000"
"0180.jpg","","0","0","0","0","unknown","unknown","no_det;conf=0.0000"
"0181.jpg","","0","0","0","0","unknown","unknown","no_det;conf=0.0000"
"0182.jpg","","0","0","0","0","unknown","unknown","no_det;conf=0.0000"
"0183.jpg","","0","0","0","0","unknown","unknown","no_det;conf=0.0000"
"0184.jpg","","0","0","0","0","unknown","unknown","no_det;conf=0.0000"
"0185.jpg","","0","0","0","0","unknown","unknown","no_det;conf=0.0000"
"0186.jpg","","0","0","0","0","unknown","unknown","no_det;conf=0.0000"
"0187.jpg","","0","0","0","0","unknown","unknown","no_det;conf=0.0000"
"0188.jpg","","0","0","0","0","unknown","unknown","no_det;conf=0.0000"
"0189.jpg","","0","0","0","0","unknown","unknown","no_det;conf=0.0000"
"0190.jpg","","0","0","0","0","unknown","unknown","no_det;conf=0.0000"
"0191.jpg","","0","0","0","0","unknown","unknown","no_det;conf=0.0000"
"0192.jpg","","0","0","0","0","unknown","unknown","no_det;conf=0.0000"
"0193.jpg","","0","0","0","0","unknown","unknown","no_det;conf=0.0000"
"0194.jpg","","0","0","0","0","unknown","unknown","no_det;conf=0.0000"
"0195.jpg","","0","0","0","0","unknown","unknown","no_det;conf=0.0000"
"0196.jpg","","1","10","85","38","legal","common","auto_yolo;conf=0.0108"
"0197.jpg","","0","0","0","0","unknown","unknown","no_det;conf=0.0000"
"0198.jpg","","0","0","0","0","unknown","unknown","no_det;conf=0.0000"
"0199.jpg","","7","7","87","35","legal","common","auto_yolo;conf=0.3879"
"0200.jpg","","0","0","0","0","unknown","unknown","no_det;conf=0.0000"
"0201.jpg","","0","0","0","0","unknown","unknown","no_det;conf=0.0000"
"0202.jpg","","0","0","0","0","unknown","unknown","no_det;conf=0.0000"
"0203.jpg","","0","0","0","0","unknown","unknown","no_det;conf=0.0000"
"0204.jpg","","0","0","0","0","unknown","unknown","no_det;conf=0.0000"
"0205.jpg","","0","0","0","0","unknown","unknown","no_det;conf=0.0000"
"0206.jpg","","5","6","85","38","legal","common","auto_yolo;conf=0.0998"
"0207.jpg","","0","0","0","0","unknown","unknown","no_det;conf=0.0000"
"0208.jpg","","0","0","0","0","unknown","unknown","no_det;conf=0.0000"
"0209.jpg","","13","10","68","25","legal","common","auto_yolo;conf=0.2648"
"0210.jpg","","0","0","0","0","unknown","unknown","no_det;conf=0.0000"
"0211.jpg","","0","0","0","0","unknown","unknown","no_det;conf=0.0000"
"0212.jpg","","0","0","0","0","unknown","unknown","no_det;conf=0.0000"
"0213.jpg","","0","0","0","0","unknown","unknown","no_det;conf=0.0000"
"0214.jpg","","0","0","0","0","unknown","unknown","no_det;conf=0.0000"
"0215.jpg","","0","0","0","0","unknown","unknown","no_det;conf=0.0000"
"0216.jpg","","0","0","0","0","unknown","unknown","no_det;conf=0.0000"
"0217.jpg","","0","0","0","0","unknown","unknown","no_det;conf=0.0000"
"0218.jpg","","3","15","80","29","legal","common","auto_yolo;conf=0.0496"
"0219.jpg","","11","8","89","36","legal","common","auto_yolo;conf=0.2431"
"0220.jpg","","0","0","0","0","unknown","unknown","no_det;conf=0.0000"
"0221.jpg","","0","0","0","0","unknown","unknown","no_det;conf=0.0000"
"0222.jpg","","0","0","0","0","unknown","unknown","no_det;conf=0.0000"
"0223.jpg","","0","0","0","0","unknown","unknown","no_det;conf=0.0000"
"0224.jpg","","0","0","0","0","unknown","unknown","no_det;conf=0.0000"
"0225.jpg","","0","0","0","0","unknown","unknown","no_det;conf=0.0000"
"0226.jpg","","6","5","88","35","legal","common","auto_yolo;conf=0.0885"
"0227.jpg","","0","0","0","0","unknown","unknown","no_det;conf=0.0000"
"0228.jpg","","0","0","0","0","unknown","unknown","no_det;conf=0.0000"
"0229.jpg","","0","0","0","0","unknown","unknown","no_det;conf=0.0000"
"0230.jpg","","0","0","0","0","unknown","unknown","no_det;conf=0.0000"
"0231.jpg","","0","0","0","0","unknown","unknown","no_det;conf=0.0000"
"0232.jpg","","0","0","0","0","unknown","unknown","no_det;conf=0.0000"
"0233.jpg","","3","3","76","38","legal","common","auto_yolo;conf=0.0663"
"0234.jpg","","0","0","0","0","unknown","unknown","no_det;conf=0.0000"
"0235.jpg","","0","0","0","0","unknown","unknown","no_det;conf=0.0000"
"0236.jpg","","0","0","0","0","unknown","unknown","no_det;conf=0.0000"
"0237.jpg","","0","0","0","0","unknown","unknown","no_det;conf=0.0000"
"0238.jpg","","0","0","0","0","unknown","unknown","no_det;conf=0.0000"
"0239.jpg","","0","0","0","0","unknown","unknown","no_det;conf=0.0000"
"0240.jpg","","7","5","86","35","legal","common","auto_yolo;conf=0.2057"
"0241.jpg","","0","0","0","0","unknown","unknown","no_det;conf=0.0000"
"0242.jpg","","0","0","0","0","unknown","unknown","no_det;conf=0.0000"
"0243.jpg","","0","0","0","0","unknown","unknown","no_det;conf=0.0000"
"0244.jpg","","0","0","0","0","unknown","unknown","no_det;conf=0.0000"
"0245.jpg","","0","0","0","0","unknown","unknown","no_det;conf=0.0000"
"0246.jpg","","6","7","88","35","legal","common","auto_yolo;conf=0.2375"
"0247.jpg","","0","0","0","0","unknown","unknown","no_det;conf=0.0000"
"0248.jpg","","0","0","0","0","unknown","unknown","no_det;conf=0.0000"
"0249.jpg","","0","0","0","0","unknown","unknown","no_det;conf=0.0000"
"0250.jpg","","14","8","84","33","legal","common","auto_yolo;conf=0.2223"
"0251.jpg","","0","0","0","0","unknown","unknown","no_det;conf=0.0000"
"0252.jpg","","0","0","0","0","unknown","unknown","no_det;conf=0.0000"
"0253.jpg","","0","0","0","0","unknown","unknown","no_det;conf=0.0000"
"0254.jpg","","0","0","0","0","unknown","unknown","no_det;conf=0.0000"
"0255.jpg","","0","0","0","0","unknown","unknown","no_det;conf=0.0000"
"0256.jpg","","6","4","88","37","legal","common","auto_yolo;conf=0.1287"
"0257.jpg","","8","13","84","29","legal","common","auto_yolo;conf=0.4045"
"0258.jpg","","0","0","0","0","unknown","unknown","no_det;conf=0.0000"
"0259.jpg","","0","0","0","0","unknown","unknown","no_det;conf=0.0000"
"0260.jpg","","34","0","46","7","legal","common","auto_yolo;conf=0.0143"
"0261.jpg","","12","12","83","30","legal","common","auto_yolo;conf=0.1402"
"0262.jpg","","0","0","0","0","unknown","unknown","no_det;conf=0.0000"
"0263.jpg","","0","0","0","0","unknown","unknown","no_det;conf=0.0000"
"0264.jpg","","40","6","81","32","legal","common","auto_yolo;conf=0.1607"
"0265.jpg","","0","0","0","0","unknown","unknown","no_det;conf=0.0000"
"0266.jpg","","0","0","0","0","unknown","unknown","no_det;conf=0.0000"
"0267.jpg","","0","0","0","0","unknown","unknown","no_det;conf=0.0000"
"0268.jpg","","45","6","83","32","legal","common","auto_yolo;conf=0.0378"
"0269.jpg","","0","0","0","0","unknown","unknown","no_det;conf=0.0000"
"0270.jpg","","0","0","0","0","unknown","unknown","no_det;conf=0.0000"
"0271.jpg","","0","2","74","41","legal","common","auto_yolo;conf=0.0108"
"0272.jpg","","0","0","0","0","unknown","unknown","no_det;conf=0.0000"
"0273.jpg","","0","0","0","0","unknown","unknown","no_det;conf=0.0000"
"0274.jpg","","0","0","0","0","unknown","unknown","no_det;conf=0.0000"
"0275.jpg","","9","12","83","29","legal","common","auto_yolo;conf=0.5859"
"0276.jpg","","0","0","0","0","unknown","unknown","no_det;conf=0.0000"
"0277.jpg","","0","0","0","0","unknown","unknown","no_det;conf=0.0000"
"0278.jpg","","0","0","0","0","unknown","unknown","no_det;conf=0.0000"
"0279.jpg","","0","0","0","0","unknown","unknown","no_det;conf=0.0000"
"0280.jpg","","4","8","79","32","legal","common","auto_yolo;conf=0.0249"
"0281.jpg","","0","0","0","0","unknown","unknown","no_det;conf=0.0000"
"0282.jpg","","0","0","0","0","unknown","unknown","no_det;conf=0.0000"
"0283.jpg","","6","6","87","39","legal","common","auto_yolo;conf=0.0220"
"0284.jpg","","0","0","0","0","unknown","unknown","no_det;conf=0.0000"
"0285.jpg","","0","0","0","0","unknown","unknown","no_det;conf=0.0000"
"0286.jpg","","15","13","84","26","legal","common","auto_yolo;conf=0.4867"
"0287.jpg","","0","0","0","0","unknown","unknown","no_det;conf=0.0000"
"0288.jpg","","0","0","0","0","unknown","unknown","no_det;conf=0.0000"
"0289.jpg","","12","8","87","34","legal","common","auto_yolo;conf=0.3247"
"0290.jpg","","0","0","0","0","unknown","unknown","no_det;conf=0.0000"
"0291.jpg","","0","0","46","9","legal","common","auto_yolo;conf=0.0954"
"0292.jpg","","0","0","0","0","unknown","unknown","no_det;conf=0.0000"
"0293.jpg","","0","0","0","0","unknown","unknown","no_det;conf=0.0000"
"0294.jpg","","0","0","0","0","unknown","unknown","no_det;conf=0.0000"
"0295.jpg","","0","0","0","0","unknown","unknown","no_det;conf=0.0000"
"0296.jpg","","0","0","0","0","unknown","unknown","no_det;conf=0.0000"
"0297.jpg","","36","14","82","29","legal","common","auto_yolo;conf=0.0164"
"0298.jpg","","0","0","0","0","unknown","unknown","no_det;conf=0.0000"
"0299.jpg","","10","14","81","28","legal","common","auto_yolo;conf=0.1549"
"0300.jpg","","32","14","86","27","legal","common","auto_yolo;conf=0.1450"
"0301.jpg","","0","0","0","0","unknown","unknown","no_det;conf=0.0000"
"0302.jpg","","0","0","0","0","unknown","unknown","no_det;conf=0.0000"
"0303.jpg","","0","0","0","0","unknown","unknown","no_det;conf=0.0000"
"0304.jpg","","0","0","0","0","unknown","unknown","no_det;conf=0.0000"
"0305.jpg","","0","0","0","0","unknown","unknown","no_det;conf=0.0000"
"0306.jpg","","3","7","87","35","legal","common","auto_yolo;conf=0.3341"
"0307.jpg","","0","0","0","0","unknown","unknown","no_det;conf=0.0000"
"0308.jpg","","0","0","0","0","unknown","unknown","no_det;conf=0.0000"
"0309.jpg","","0","0","0","0","unknown","unknown","no_det;conf=0.0000"
"0310.jpg","","0","0","0","0","unknown","unknown","no_det;conf=0.0000"
"0311.jpg","","0","0","0","0","unknown","unknown","no_det;conf=0.0000"
"0312.jpg","","0","0","0","0","unknown","unknown","no_det;conf=0.0000"
"0313.jpg","","10","8","85","32","legal","common","auto_yolo;conf=0.2875"
"0314.jpg","","0","0","0","0","unknown","unknown","no_det;conf=0.0000"
"0315.jpg","","9","11","83","31","legal","common","auto_yolo;conf=0.4060"
"0316.jpg","","0","0","0","0","unknown","unknown","no_det;conf=0.0000"
"0317.jpg","","0","0","0","0","unknown","unknown","no_det;conf=0.0000"
"0318.jpg","","0","0","0","0","unknown","unknown","no_det;conf=0.0000"
"0319.jpg","","10","11","85","31","legal","common","auto_yolo;conf=0.0859"
"0320.jpg","","0","0","0","0","unknown","unknown","no_det;conf=0.0000"
"0321.jpg","","0","0","0","0","unknown","unknown","no_det;conf=0.0000"
"0322.jpg","","0","0","0","0","unknown","unknown","no_det;conf=0.0000"
"0323.jpg","","2","11","85","33","legal","common","auto_yolo;conf=0.0106"
"0324.jpg","","0","0","0","0","unknown","unknown","no_det;conf=0.0000"
"0325.jpg","","3","13","85","28","legal","common","auto_yolo;conf=0.1885"
"0326.jpg","","0","0","0","0","unknown","unknown","no_det;conf=0.0000"
"0327.jpg","","0","0","0","0","unknown","unknown","no_det;conf=0.0000"
"0328.jpg","","0","0","0","0","unknown","unknown","no_det;conf=0.0000"
"0329.jpg","","30","0","87","20","legal","common","auto_yolo;conf=0.0334"
"0330.jpg","","0","0","0","0","unknown","unknown","no_det;conf=0.0000"
"0331.jpg","","0","0","0","0","unknown","unknown","no_det;conf=0.0000"
"0332.jpg","","0","0","0","0","unknown","unknown","no_det;conf=0.0000"
"0333.jpg","","0","0","0","0","unknown","unknown","no_det;conf=0.0000"
"0334.jpg","","36","2","82","40","legal","common","auto_yolo;conf=0.0135"
"0335.jpg","","0","0","0","0","unknown","unknown","no_det;conf=0.0000"
"0336.jpg","","0","0","0","0","unknown","unknown","no_det;conf=0.0000"
"0337.jpg","","2","17","82","26","legal","common","auto_yolo;conf=0.4740"
"0338.jpg","","0","0","0","0","unknown","unknown","no_det;conf=0.0000"
"0339.jpg","","0","0","0","0","unknown","unknown","no_det;conf=0.0000"
"0340.jpg","","0","0","0","0","unknown","unknown","no_det;conf=0.0000"
"0341.jpg","","38","7","84","35","legal","common","auto_yolo;conf=0.0119"
"0342.jpg","","0","0","0","0","unknown","unknown","no_det;conf=0.0000"
"0343.jpg","","0","0","0","0","unknown","unknown","no_det;conf=0.0000"
"0344.jpg","","0","0","0","0","unknown","unknown","no_det;conf=0.0000"
"0345.jpg","","0","0","0","0","unknown","unknown","no_det;conf=0.0000"
"0346.jpg","","0","0","0","0","unknown","unknown","no_det;conf=0.0000"
"0347.jpg","","0","0","0","0","unknown","unknown","no_det;conf=0.0000"
"0348.jpg","","0","0","0","0","unknown","unknown","no_det;conf=0.0000"
"0349.jpg","","0","0","0","0","unknown","unknown","no_det;conf=0.0000"
"0350.jpg","","0","0","0","0","unknown","unknown","no_det;conf=0.0000"
"0351.jpg","","0","0","0","0","unknown","unknown","no_det;conf=0.0000"
"0352.jpg","","1","14","87","27","legal","common","auto_yolo;conf=0.0592"
"0353.jpg","","0","0","0","0","unknown","unknown","no_det;conf=0.0000"
"0354.jpg","","0","0","0","0","unknown","unknown","no_det;conf=0.0000"
"0355.jpg","","0","0","0","0","unknown","unknown","no_det;conf=0.0000"
"0356.jpg","","0","0","0","0","unknown","unknown","no_det;conf=0.0000"
"0357.jpg","","0","0","0","0","unknown","unknown","no_det;conf=0.0000"
"0358.jpg","","0","0","0","0","unknown","unknown","no_det;conf=0.0000"
"0359.jpg","","0","0","0","0","unknown","unknown","no_det;conf=0.0000"
"0360.jpg","","0","0","0","0","unknown","unknown","no_det;conf=0.0000"
"0361.jpg","","0","0","0","0","unknown","unknown","no_det;conf=0.0000"
"0362.jpg","","0","0","0","0","unknown","unknown","no_det;conf=0.0000"
"0363.jpg","","0","0","0","0","unknown","unknown","no_det;conf=0.0000"
"0364.jpg","","0","0","0","0","unknown","unknown","no_det;conf=0.0000"
"0365.jpg","","0","0","0","0","unknown","unknown","no_det;conf=0.0000"
